potentiometer0,potentiometer1,potentiometer2,potentiometer3,encoder0,encoder1,encoder2,encoder3
-1.0543669761542585,-0.6924893172543082,0.007907573530686218,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0543669761542585,-0.6924428340965318,0.007925942301741762,-1.3575610245475072,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6924428340965318,0.007925942301741762,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007935126687269478,-1.3575075026335464,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0543669761542585,-0.6924428340965318,0.007907573530686218,-1.3575610245475072,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3575075026335464,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6923498677809794,0.007925942301741762,-1.3575610245475072,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0543669761542585,-0.6924428340965318,0.007898389145158446,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6923963509387557,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6924428340965318,0.007925942301741762,-1.3575075026335464,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545820763076572,-0.6925822835698606,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0546537763587902,-0.6924893172543082,0.007935126687269478,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.00791675791621399,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007953495458325022,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.00791675791621399,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0544386762053912,-0.6923963509387557,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545820763076572,-0.6924428340965318,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.054725476409923,-0.6925822835698606,0.00794431107279725,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601504592,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007925942301741762,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007935126687269478,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0546537763587902,-0.6924893172543082,0.00791675791621399,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.00794431107279725,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.00791675791621399,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0543669761542585,-0.6924893172543082,0.007935126687269478,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007953495458325022,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.00794431107279725,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007953495458325022,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6923963509387557,0.00794431107279725,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6925822835698606,0.007962679843852849,-1.357828634117313,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.3575610245475072,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007953495458325022,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0546537763587902,-0.6924893172543082,0.007953495458325022,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0546537763587902,-0.6924893172543082,0.007925942301741762,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6924428340965318,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6923963509387557,0.007935126687269478,-1.357828634117313,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0543669761542585,-0.6923963509387557,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6925358004120843,0.007925942301741762,-1.3578821560312742,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007953495458325022,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.054725476409923,-0.6924893172543082,0.00794431107279725,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6924428340965318,0.007907573530686218,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.357828634117313,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007953495458325022,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007935126687269478,-1.3576680683754296,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.00794431107279725,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.00794431107279725,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3576145464614684,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007898389145158446,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.00794431107279725,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007935126687269478,-1.3579356779452354,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6925358004120843,0.007925942301741762,-1.3579356779452354,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007953495458325022,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545820763076572,-0.6925358004120843,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545820763076572,-0.6924428340965318,0.007925942301741762,-1.357828634117313,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6923963509387557,0.007925942301741762,-1.3578821560312742,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.00791675791621399,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925822835698606,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.00791675791621399,-1.357828634117313,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007925942301741762,-1.3578821560312742,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0546537763587902,-0.6923963509387557,0.007953495458325022,-1.3575610245475072,-1.0530749474526886,-0.6936767478820164,0.00601147404,-1.3943663280077803
-1.0545820763076572,-0.6923963509387557,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00601147404,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.007925942301741762,-1.3576680683754296,-1.0530749474526886,-0.6936832928667113,0.00601147404,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007935126687269478,-1.3575610245475072,-1.0530749474526886,-0.6936832928667113,0.00601147404,-1.3943663280077803
-1.0541518760008597,-0.6924893172543082,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00601147404,-1.3943663280077803
-1.0544386762053912,-0.6923963509387557,0.00791675791621399,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.00794431107279725,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.007935126687269478,-1.3576680683754296,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0546537763587902,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0545103762565244,-0.6924428340965318,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0542952761031255,-0.6925358004120843,0.00791675791621399,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6925822835698606,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007935126687269478,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0542952761031255,-0.6924428340965318,0.007925942301741762,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007962679843852849,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6923963509387557,0.007935126687269478,-1.3575610245475072,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0543669761542585,-0.6923033846232032,0.007925942301741762,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007898389145158446,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3576680683754296,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0542952761031255,-0.6924428340965318,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.00791675791621399,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0542235760519925,-0.6924428340965318,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.00794431107279725,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.00794431107279725,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600790216,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.00791675791621399,-1.3578821560312742,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007898389145158446,-1.3578821560312742,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007907573530686218,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007925942301741762,-1.3576680683754296,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0545820763076572,-0.6925358004120843,0.007907573530686218,-1.3576680683754296,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007935126687269478,-1.3575610245475072,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0542952761031255,-0.6923963509387557,0.007907573530686218,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0546537763587902,-0.6924428340965318,0.007907573530686218,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0543669761542585,-0.6923498677809794,0.007898389145158446,-1.3578821560312742,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0543669761542585,-0.6924893172543082,0.007925942301741762,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.054725476409923,-0.6925358004120843,0.007925942301741762,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007898389145158446,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007953495458325022,-1.3576145464614684,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007925942301741762,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.054725476409923,-0.6924893172543082,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0545103762565244,-0.6925822835698606,0.007935126687269478,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0545103762565244,-0.6925822835698606,0.007898389145158446,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007907573530686218,-1.3575610245475072,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0543669761542585,-0.6923498677809794,0.007898389145158446,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.00600433028,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007907573530686218,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007898389145158446,-1.3580427217731579,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.00791675791621399,-1.3576680683754296,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0544386762053912,-0.6923963509387557,0.007898389145158446,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0543669761542585,-0.6924893172543082,0.00791675791621399,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.00791675791621399,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0545820763076572,-0.6923963509387557,0.007925942301741762,-1.3578821560312742,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0546537763587902,-0.6923498677809794,0.007935126687269478,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.0060007584,-1.3943663280077803
-1.0545820763076572,-0.6925358004120843,0.007925942301741762,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.0059971865199999995,-1.3943663280077803
-1.0544386762053912,-0.6924428340965318,0.007889204759630675,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.0059971865199999995,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007898389145158446,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.0059971865199999995,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.007898389145158446,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.0059971865199999995,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.00791675791621399,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.0059971865199999995,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007935126687269478,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.00599361464,-1.3943663280077803
-1.0545103762565244,-0.6925822835698606,0.007898389145158446,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.00599361464,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007870835988575187,-1.3579891998591966,-1.0530749474526886,-0.6936832928667113,0.00599004276,-1.3943663280077803
-1.0542952761031255,-0.692628766727637,0.00791675791621399,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.00599004276,-1.3943663280077803
-1.0545820763076572,-0.6924893172543082,0.007898389145158446,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00599004276,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.007925942301741762,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00598647088,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.007907573530686218,-1.357828634117313,-1.0530749474526886,-0.6936832928667113,0.00598647088,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007907573530686218,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00598647088,-1.3943663280077803
-1.0542235760519925,-0.6925358004120843,0.007907573530686218,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.00598647088,-1.3943663280077803
-1.0545103762565244,-0.6924893172543082,0.007907573530686218,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
-1.0544386762053912,-0.6924893172543082,0.007935126687269478,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
-1.0543669761542585,-0.6925358004120843,0.007907573530686218,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
-1.0544386762053912,-0.6925358004120843,0.00791675791621399,-1.3577751122033521,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
-1.0545103762565244,-0.6925358004120843,0.007925942301741762,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
-1.0545820763076572,-0.6924893172543082,0.007898389145158446,-1.3577215902893909,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
-1.0542952761031255,-0.6924893172543082,0.007898389145158446,-1.3579356779452354,-1.0530749474526886,-0.6936832928667113,0.005982899,-1.3943663280077803
